6.62209e-14	-6.1505e-14	-4995.57	-131.962	4995.57	131.962	131.962	-4995.57	-131.962	4995.57	
7.0334e-14	-6.52522e-14	-4995.44	-133.96	4995.44	133.96	133.96	-4995.44	-133.96	4995.44	
7.4637e-14	-6.91669e-14	-4995.3	-135.958	4995.3	135.958	135.958	-4995.3	-135.958	4995.3	
7.91356e-14	-7.32538e-14	-4995.16	-137.956	4995.16	137.956	137.956	-4995.16	-137.956	4995.16	
8.3836e-14	-7.75179e-14	-4995.02	-139.954	4995.02	139.954	139.954	-4995.02	-139.954	4995.02	
8.87439e-14	-8.19642e-14	-4994.88	-141.952	4994.88	141.952	141.952	-4994.88	-141.952	4994.88	
9.38657e-14	-8.65976e-14	-4994.74	-143.95	4994.74	143.95	143.95	-4994.74	-143.95	4994.74	
9.92075e-14	-9.14233e-14	-4994.59	-145.948	4994.59	145.948	145.948	-4994.59	-145.948	4994.59	
1.04776e-13	-9.64463e-14	-4994.44	-147.946	4994.44	147.946	147.946	-4994.44	-147.946	4994.44	
1.10577e-13	-1.01672e-13	-4994.29	-149.944	4994.29	149.944	149.944	-4994.29	-149.944	4994.29	
1.16617e-13	-1.07105e-13	-4994.14	-151.941	4994.14	151.941	151.941	-4994.14	-151.941	4994.14	
1.22903e-13	-1.12752e-13	-4993.98	-153.939	4993.98	153.939	153.939	-4993.98	-153.939	4993.98	
1.29441e-13	-1.18617e-13	-4993.83	-155.937	4993.83	155.937	155.937	-4993.83	-155.937	4993.83	
1.36239e-13	-1.24707e-13	-4993.67	-157.934	4993.67	157.934	157.934	-4993.67	-157.934	4993.67	
1.43303e-13	-1.31025e-13	-4993.51	-159.932	4993.51	159.932	159.932	-4993.51	-159.932	4993.51	
1.5064e-13	-1.37579e-13	-4993.35	-161.929	4993.35	161.929	161.929	-4993.35	-161.929	4993.35	
1.58257e-13	-1.44374e-13	-4993.18	-163.926	4993.18	163.926	163.926	-4993.18	-163.926	4993.18	
1.66162e-13	-1.51415e-13	-4993.02	-165.924	4993.02	165.924	165.924	-4993.02	-165.924	4993.02	
1.74362e-13	-1.58709e-13	-4992.85	-167.921	4992.85	167.921	167.921	-4992.85	-167.921	4992.85	
1.82864e-13	-1.6626e-13	-4992.68	-169.918	4992.68	169.918	169.918	-4992.68	-169.918	4992.68	
1.91675e-13	-1.74075e-13	-4992.51	-171.915	4992.51	171.915	171.915	-4992.51	-171.915	4992.51	
2.00803e-13	-1.8216e-13	-4992.33	-173.912	4992.33	173.912	173.912	-4992.33	-173.912	4992.33	
2.10256e-13	-1.90521e-13	-4992.16	-175.909	4992.16	175.909	175.909	-4992.16	-175.909	4992.16	
2.20042e-13	-1.99164e-13	-4991.98	-177.906	4991.98	177.906	177.906	-4991.98	-177.906	4991.98	
2.30168e-13	-2.08095e-13	-4991.8	-179.903	4991.8	179.903	179.903	-4991.8	-179.903	4991.8	
2.40642e-13	-2.1732e-13	-4991.61	-181.899	4991.61	181.899	181.899	-4991.61	-181.899	4991.61	
2.51473e-13	-2.26846e-13	-4991.43	-183.896	4991.43	183.896	183.896	-4991.43	-183.896	4991.43	
2.62668e-13	-2.36678e-13	-4991.24	-185.893	4991.24	185.893	185.893	-4991.24	-185.893	4991.24	
2.74237e-13	-2.46823e-13	-4991.06	-187.889	4991.06	187.889	187.889	-4991.06	-187.889	4991.06	
2.86186e-13	-2.57288e-13	-4990.87	-189.885	4990.87	189.885	189.885	-4990.87	-189.885	4990.87	
2.98525e-13	-2.68078e-13	-4990.67	-191.882	4990.67	191.882	191.882	-4990.67	-191.882	4990.67	
3.11262e-13	-2.79201e-13	-4990.48	-193.878	4990.48	193.878	193.878	-4990.48	-193.878	4990.48	
3.24406e-13	-2.90663e-13	-4990.28	-195.874	4990.28	195.874	195.874	-4990.28	-195.874	4990.28	
3.37965e-13	-3.02471e-13	-4990.08	-197.87	4990.08	197.87	197.87	-4990.08	-197.87	4990.08	
3.51949e-13	-3.14631e-13	-4989.88	-199.866	4989.88	199.866	199.866	-4989.88	-199.866	4989.88	
3.66366e-13	-3.27151e-13	-4989.68	-201.862	4989.68	201.862	201.862	-4989.68	-201.862	4989.68	
3.81226e-13	-3.40036e-13	-4989.48	-203.858	4989.48	203.858	203.858	-4989.48	-203.858	4989.48	
3.96537e-13	-3.53293e-13	-4989.27	-205.854	4989.27	205.854	205.854	-4989.27	-205.854	4989.27	
4.1231e-13	-3.66931e-13	-4989.06	-207.85	4989.06	207.85	207.85	-4989.06	-207.85	4989.06	
4.28552e-13	-3.80955e-13	-4988.85	-209.845	4988.85	209.845	209.845	-4988.85	-209.845	4988.85	
4.45274e-13	-3.95373e-13	-4988.64	-211.841	4988.64	211.841	211.841	-4988.64	-211.841	4988.64	
4.62485e-13	-4.10192e-13	-4988.42	-213.836	4988.42	213.836	213.836	-4988.42	-213.836	4988.42	
4.80195e-13	-4.25419e-13	-4988.21	-215.832	4988.21	215.832	215.832	-4988.21	-215.832	4988.21	
4.98414e-13	-4.4106e-13	-4987.99	-217.827	4987.99	217.827	217.827	-4987.99	-217.827	4987.99	
5.17152e-13	-4.57124e-13	-4987.77	-219.822	4987.77	219.822	219.822	-4987.77	-219.822	4987.77	
5.36418e-13	-4.73618e-13	-4987.55	-221.817	4987.55	221.817	221.817	-4987.55	-221.817	4987.55	
5.56222e-13	-4.90549e-13	-4987.32	-223.812	4987.32	223.812	223.812	-4987.32	-223.812	4987.32	
5.76576e-13	-5.07924e-13	-4987.1	-225.807	4987.1	225.807	225.807	-4987.1	-225.807	4987.1	
5.97488e-13	-5.25751e-13	-4986.87	-227.802	4986.87	227.802	227.802	-4986.87	-227.802	4986.87	
6.1897e-13	-5.44038e-13	-4986.64	-229.797	4986.64	229.797	229.797	-4986.64	-229.797	4986.64	
6.41032e-13	-5.62791e-13	-4986.4	-231.791	4986.4	231.791	231.791	-4986.4	-231.791	4986.4	
6.63684e-13	-5.8202e-13	-4986.17	-233.786	4986.17	233.786	233.786	-4986.17	-233.786	4986.17	
6.86938e-13	-6.0173e-13	-4985.93	-235.78	4985.93	235.78	235.78	-4985.93	-235.78	4985.93	
